Date,Total_Time(s),Focused_Time(s),Distracted_Time(s),Focus_Percent(%)
2025-11-21 11:30:43,6.8,2.7,4.1,40.3
2025-11-21 11:31:13,0.1,0.1,0.0,99.0
2025-11-21 11:34:09,6.1,3.4,2.7,56.0
2025-11-21 11:40:43,2.5,0.6,1.8,25.4
2025-11-21 11:50:34,1.9,1.2,0.7,62.9
2025-11-21 11:50:36,1.9,1.1,0.7,60.9
2025-11-21 11:50:40,1.8,1.1,0.7,61.5
2025-11-21 11:50:40,0.9,0.2,0.8,18.9
2025-11-21 11:50:42,1.9,1.2,0.7,61.5
2025-11-21 12:04:00,0.9,0.2,0.7,22.5
2025-11-21 12:07:31,0.2,0.2,0.0,99.2
2025-11-21 12:16:13,0.9,0.3,0.6,33.8
2025-11-21 12:16:49,3.6,1.4,2.3,37.7
2025-11-21 12:21:55,1.4,0.6,0.9,40.5
2025-11-21 12:24:02,0.5,0.0,0.5,6.7
2025-11-21 12:26:24,0.9,0.7,0.2,75.1
2025-11-21 12:33:08,0.3,0.3,0,100.0
2025-11-21 13:31:42,0.3,0.3,0,100.0
2025-11-23 22:34:33,3.8,1.2,2.6,31.9
2025-11-23 22:34:41,0.3,0.3,0,100.0
2025-11-24 22:27:43,0.6,0.5,0.1,80.8
2025-11-24 22:33:46,9.1,4.4,4.7,48.6
2025-11-26 09:08:30,3.7,1.7,2.0,45.3
2025-11-26 09:12:17,12.7,5.7,7.0,44.7
2025-11-29 10:20:35,3.6,2.1,1.6,56.5
2025-12-04 21:18:47,0.5,0.5,0.0,93.0
